Freq Hz,M60 Tank idling at 30 meters,Drone (79db),Whisper,Normal,Raised,Loud,Shouted,Idealized,Jungle Day,Jungle Night,Desert Low Wind,Desert Moderate Wind,Urban,TACOM Default,MIL_STD 1474,TACOM '77 #12292,Upper Limit Rural EPA,Lower Limit Rural EPA,Grand Canyon Wilder-ness Critical,NATO,STANAG (Future Main Battle Tank),BBN Noisy Jungle,ISO Std,1.5-2.4 years service time,7.5-12.4 years service time,17.5-22.4 years service time,Poor hearing Aud- Hdcp,Poor + Temp Threshold Shift,Avg REAT EAR form plug,1/3 OB weights for masking bands to calculate critical bands centered on the middle of each group of five 1/3 octave bands,,,,,B3 Array for TSD calc,Awt weights,Cwt weights,A.I. weights
50,53.6,62.8,36.7,38.1,39.5,41,36.5,46.4,34.0,38.0,34.0,44.0,51.0,26.0,15.0,34.0,43.0,34.0,18.0,40.0,29.0,34.0,41.7,44.0,44.0,46.0,58.0,66.0,35.0,0,0,1,1,0.5,10.158,-30.2,,0.0000
63,57.3,66.5,38.7,40.1,41.5,43,38.5,48.4,34.0,38.0,33.0,43.0,51.0,25.0,15.0,35.0,45.0,37.0,17.0,37.0,29.0,35.0,35.6,41.4,41.5,43.4,51.0,60.0,35.0,0,0.5333,1,0.6683,0.45,9.48,-26.2,-0.8,0.0000
80,60.9,69.9,40.7,42.1,43.5,45,40.5,50.4,33.0,35.0,32.0,42.0,51.0,24.0,15.0,35.0,48.0,38.0,16.0,38.0,28.0,35.0,29.8,38.8,38.9,40.9,45.0,55.0,35.0,0.3048,0.4355,1,0.5176,0.3846,9.054,-22.5,-0.5,0.0000
100,69.8,79,42.7,44.1,45.5,47,42.5,52.4,30.0,33.0,30.5,41.0,50.0,22.0,15.0,35.0,47.0,38.0,15.0,37.0,26.0,35.0,25.1,36.2,36.3,38.3,40.0,51.0,35.0,0.1521,0.3565,1,0.3999,0.1321,8.848,-19.1,-0.3,0.0000
125,68.2,77.1,44.7,46.1,47.5,49,44.5,54.4,28.0,30.5,29.0,40.0,50.0,21.0,15.0,35.0,45.0,37.0,14.0,32.0,24.0,35.0,20.8,33.6,33.8,35.7,36.0,48.0,35.0,0.07568,0.2917,1,0.309,0.04539,8.747,-16.1,-0.2,0.0000
160,69.6,78.7,46.7,48.1,49.5,51,46.5,56.4,27.5,28.0,26.0,38.0,49.0,20.0,15.0,34.0,42.0,34.0,13.0,27.0,23.0,34.0,16.8,31.0,31.3,33.2,32.0,46.0,35.0,0.03776,0.2388,1,0.2388,0.0156,8.747,-13.4,-0.1,0.0000
200,59.0,64.6,47.7,51.1,50.6,54.4,53.3,57.4,27.5,26.0,23.5,35.0,48.0,19.0,15.0,33.0,41.0,31.0,12.0,26.0,21.0,33.0,13.8,28.4,28.7,30.6,30.0,44.0,35.0,0,0.195,1,0.1845,0,8.747,-10.9,0,0.0004
250,56.7,61.9,48.1,52.4,56.6,59.2,60.1,58.3,27.0,24.5,21.0,31.0,47.0,18.0,15.0,32.0,40.0,28.0,11.0,25.0,19.0,32.0,11.2,25.9,26.1,28.0,28.0,43.0,36.0,0,0.1596,1,0.1429,0,9.002,-8.8,0,0.0010
315,55.1,60.1,48,52.6,57.2,62.4,65.1,59.3,26.0,24.0,18.5,28.0,46.0,17.0,15.0,31.0,39.0,26.0,10.0,24.0,18.0,31.0,9.0,23.2,24.0,26.0,25.0,42.0,38.0,0,0.1306,1,0.1104,0,9.535,-6.6,0,0.0010
400,57.4,62.6,49.7,54.3,58.8,63,67.1,60.4,25.0,24.0,16.5,25.5,45.0,16.0,15.0,30.0,37.0,25.0,9.0,24.0,16.0,30.0,7.2,21.2,22.2,24.7,24.0,41.0,40.0,0,0.1069,1,0.08531,0,10.395,-4.8,0,0.0014
500,56.0,61,49,54.9,60.8,65.5,69.9,61.3,24.5,24.0,14.0,23.0,44.0,15.0,15.0,29.0,36.0,24.0,8.0,23.0,15.0,29.0,6.0,19.8,21.2,23.6,23.0,40.0,41.0,0,0.0875,1,0.06592,0,11.398,-3.2,0,0.0014
630,54.9,59.8,47,53.7,60.4,67.2,72.9,59.3,24.0,25.0,12.5,20.5,42.0,14.0,15.0,27.0,34.0,24.0,6.0,21.0,14.0,27.0,5.0,18.6,20.5,23.0,23.0,40.0,41.5,0,0,1,0,0,12.498,-1.9,0,0.0020
800,51.0,55.2,42.9,51,59,66.7,74.1,57.4,24.0,26.0,11.0,18.0,40.0,14.0,15.0,25.0,34.0,23.0,5.0,20.0,13.0,25.0,4.4,17.7,20.2,23.2,23.0,42.0,41.5,0,0,1,0,0,13.703,-0.8,0,0.0020
1000,48.9,52.8,39.8,48.7,57.5,65.8,75,55.3,24.0,26.5,10.0,16.0,38.0,13.0,15.0,23.0,33.0,22.0,5.0,18.0,12.0,23.0,4.2,17.4,20.0,24.0,24.0,44.0,41.0,0,0,1,0,0,15.199,0,0,0.0024
1250,46.7,50.3,38.7,47.6,56.5,65.1,74.2,53.3,24.0,27.0,9.0,14.0,36.0,12.0,15.0,21.0,32.0,21.0,5.0,19.0,11.0,21.0,3.8,16.9,20.3,25.2,25.0,46.0,39.5,0,0,1,0,0,17.054,0.6,0,0.0030
1600,45.0,48.4,37.4,45.8,54.3,63.4,73.3,51.4,24.0,27.0,8.0,12.0,34.0,12.0,15.0,19.0,30.0,19.0,4.0,18.0,10.0,19.0,2.6,16.1,21.6,27.1,27.0,49.0,38.0,0,0,1,0,0,19.134,1,-0.1,0.0037
2000,42.9,46.1,36,44,52,61,71,49.4,24.0,27.0,7.0,10.0,32.0,11.0,15.0,17.0,28.0,18.0,4.0,18.0,9.0,17.0,1.0,16.0,24.5,30.3,30.0,53.0,38.0,0,0,1,0,0,21.469,1.2,-0.2,0.0037
2500,40.7,43.6,31.6,40.8,50,58.6,68.4,47.3,23.0,28.5,6.0,8.0,29.0,10.0,15.0,14.0,26.0,16.0,3.0,18.0,8.0,14.0,-1.2,16.8,29.8,38.3,38.0,65.0,40.5,0,0,1,0,0,24.089,1.3,-0.3,0.0034
3150,37.9,40.4,31.6,40.2,48.8,56.8,66.8,45.3,22.5,30.0,5.0,6.0,26.0,10.0,15.0,11.0,23.0,15.0,2.0,19.0,7.0,11.0,-3.5,19.0,37.0,46.5,46.0,76.0,43.0,0,0,1,0,0,27.028,1.2,-0.5,0.0034
4000,35.9,38.1,31.5,39,46.4,55.1,64.1,43.4,22.0,31.5,4.0,4.0,23.0,9.0,15.0,8.0,22.0,14.0,1.0,19.0,7.0,8.0,-3.9,24.9,46.4,57.5,57.0,82.0,44.0,0,0,1,0,0,30.326,1,-0.8,0.0024
5000,33.9,35.9,29.8,35.9,42.1,49,58.9,41.3,22.0,35.0,4.0,4.0,20.0,8.0,15.0,5.0,20.0,12.0,0.0,19.0,6.0,5.0,-1.1,30.4,52.5,63.4,63.0,85.0,44.5,0,0,1,0,0,34.026,0.5,-1.3,0.0020
6300,32.7,34.5,29.2,34.2,39.3,45.5,55.1,39.3,22.0,40.0,4.0,4.0,16.0,8.0,15.0,0.0,19.0,10.0,0.0,19.0,6.0,0.0,6.5,30.4,52.5,63.4,72.0,91.0,44.5,0,0,1,0,0,38.178,-0.1,-2,0.0000
8000,31.0,32.6,29.9,33.8,37.7,44.1,53.4,37.4,20.0,43.0,4.0,4.0,11.0,8.0,15.0,0.0,17.0,9.0,0.0,21.0,6.0,0.0,15.3,30.4,52.5,63.4,76.0,95.0,44.5,0,0,1,0,0,42.837,-1.1,-3,0.0000
10000,29.4,30.9,27.9,31.8,35.7,42.1,51.4,35.4,20.0,38.0,4.0,4.0,11.0,8.0,15.0,0.0,16.0,8.0,0.0,21.0,6.0,0.0,16.4,30.4,52.5,63.4,72.0,91.0,44.5,0,0,1,0,0,48.064,-2.5,-4.4,0.0000
MicDist,30.0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
